Unnamed: 0,Florianópolis,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.,4645.994427161339,3998.337180834424,4659.343118165931,4840.307544013886,5918.9538922650045,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,98.02104496175674,101.90023316116925,97.3391836076217,97.03975255874188,99.28768691325851,-0.019789550382432602,0.019002331611692548,-0.026608163923782943,-0.029602474412581285,-0.007123130867414843,.,.,.,.,.,4554.052286368529,4074.3149098399995,4535.3665527006215,4697.0224637931915,5876.792409092207,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,96.98326541703658,102.41236797524012,94.91384999675702,97.11553021692725,96.62600859420874,-0.010587313623569851,0.005025845360538417,-0.02491631346160975,0.0007808929452855758,-0.026807738218084413,.,.,.,.,.,4505.83710655461,4094.791786526992,4422.361938010233,4700.690335499015,5719.248896627237,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,96.57222249099645,103.45907187646834,93.39571349889763,97.35941724795613,96.0278773807256,-0.00423828713410101,0.010220483345149071,-0.015994889027378608,0.0025113082375609664,-0.006190167866656537,.,.,.,.,.,4486.740075117545,4136.642537783045,4351.626749572856,4712.495217860777,5683.845785885925,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,97.08061240530199,107.17724802221461,93.20872518346333,97.66432984916966,94.01722003412516,0.005264349325220592,0.03593861880170194,-0.0020021081099886266,0.0031318244278001296,-0.020938267109963406,.,.,.,.,.,4510.35984220443,4285.307757067334,4342.914322365894,4727.253925499965,5564.8359046092055,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,98.70250544731871,112.20569993192775,94.34050358779103,98.44642688774816,95.662210773432,0.016706662657271564,0.046917158282240065,0.012142408364667812,0.008008011110979285,0.017496696229794547,.,.,.,.,.,4585.712902551044,4486.362219393773,4395.6477615608255,4765.109827459789,5662.202148000806,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,98.90182937445812,113.92202272561109,94.00774002672806,98.58895036433958,96.09165297453805,0.002019441413731846,0.015296217524819118,-0.0035272608095982365,0.0014477262516996593,0.004489151961197608,.,.,.,.,.,4594.97348109794,4554.98659179675,4380.143165478674,4772.008402049234,5687.620633878201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,99.96612731673059,116.88044556132368,94.57454683149592,99.2499174902329,97.82769329662194,0.010761155268856187,0.025968840483443195,0.006029363163147275,0.006704271862624442,0.018066504928829743,.,.,.,.,.,4644.420704184312,4673.274312003342,4406.5526393299215,4804.0012437073,5790.376060093476,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,101.94365036394254,117.89343547326324,97.3304103772304,100.96297463237654,98.45327637752978,0.01978193114300003,0.0086668895474742,0.029139590281565066,0.017260035932142898,0.00639474426746441,.,.,.,.,.,4736.29631475361,4713.777064290523,4534.957777794144,4886.918477791747,5827.404034210221,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,104.09626288344163,119.7728232441832,100.47241347216291,102.25424333063897,99.36210067398552,0.021115709627957953,0.015941411524530352,0.03228182315018328,0.012789527081230965,0.009231021352410556,.,.,.,.,.,4836.306572447916,4788.921324307272,4681.354482770443,4949.419854007234,5881.196925279138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,105.59754100727328,120.11657521546401,102.66357421130213,103.64319736073969,99.82784779212218,0.014422017488876282,0.002870033134144207,0.02180858071799282,0.013583338792205746,0.004687371895093263,.,.,.,.,.,4906.055870417326,4802.665687184844,4783.44817987748,5016.649500709083,5908.7642824562,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,105.38428976060456,118.393523507643,102.80182758860029,103.54283309571949,101.07106710033587,-0.002019471709611408,-0.014344828802604634,0.0013466643681585074,-0.0009683632652790614,0.012453632285076514,.,.,.,.,.,4896.148229381245,4733.772270106033,4789.889879098253,5011.791561617817,5982.3498600891035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,106.01075335545109,117.08234007441403,103.92020419573959,104.47552700405276,102.04988856970995,0.005944563428473401,-0.01107479019445115,0.010878956467728273,0.009007807498091684,0.009684487336048302,0.06010753355451093,0.17082340074414026,0.03920204195739596,0.044755270040527595,0.020498885697099567,4925.25369308601,4681.346735386298,4841.998882578176,5056.936815225431,6040.285851548946,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,106.94297921178166,117.77251001019042,104.73184293530485,105.59795032558296,103.55344837645586,0.00879369145887359,0.005894739850072347,0.007810211169682634,0.01074340904245114,0.014733576173567676,0.09102059923464245,0.1557629100211868,0.07594741453229426,0.08819269980784905,0.042963650335857695,4968.564854419686,4708.942056539386,4879.815916334478,5111.265555933228,6129.280863252865,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,108.11885537161784,118.31722815562749,105.30827026163266,107.69368723824367,105.5129944873963,0.01099535629643867,0.004625172252760294,0.005503840190073611,0.019846378705259734,0.018923040629383485,0.11481970530376806,0.15530214264972986,0.10951426230450867,0.10892343374626035,0.09197302074754443,5023.1959952759935,4730.721724679148,4906.67364329496,5212.705667819428,6245.265494057102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,109.74455733060171,120.01577270323646,105.98273871301814,110.40072632557275,107.33046952959178,0.015036248334262545,0.014355851418145278,0.006404705439656353,0.025136469525279457,0.017225129956979664,0.13639879563539425,0.16003140687881934,0.13477090909818967,0.13395015547805555,0.11770115571808737,5098.726017692637,4798.635262859234,4938.099442668789,5343.734684982821,6352.841003808077,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,111.84736339413507,121.9048262547533,107.6681795129496,112.85082586496944,111.42682160314921,0.01916091435130343,0.015740044070606533,0.01590297458244911,0.02219278460334862,0.038165789188391114,0.15210813593947425,0.13741328970758904,0.15512983683690162,0.15549685375667277,0.18517460485116377,5196.422270218408,4874.1659933754045,5016.629912591157,5462.327037824089,6595.302194306782,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,114.46598548273052,125.57530799797257,110.31078601461456,114.99955885424424,113.70303270446455,0.023412461493327975,0.03010940465596338,0.024543987960222915,0.019040471993052505,0.020427856314722482,0.15970698984764242,0.11915266402826075,0.16928341295064175,0.1681435526895303,0.18858880413877066,5318.083306522968,5020.92422963028,5139.758016766689,5566.332322804672,6730.0300798842545,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,116.62386959988432,128.8139766588033,112.58721791940614,116.44929876811632,116.32910234056096,0.0188517497844752,0.02579064875463452,0.020636530542806352,0.012606482392767546,0.02309586273676681,0.17918819436926414,0.1307205891968799,0.19763774650252852,0.18115973785878725,0.21060569507931493,5418.338482350533,5150.417122860308,5245.824790062329,5636.504193224403,6885.465930823573,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,118.46638528916405,130.69812274799875,114.73906892761231,118.08281480257304,117.0494264471135,0.015798787123091348,0.014626876198272167,0.019112746970500097,0.014027701770102792,0.006192122968883041,0.18506526629582876,0.1182206067089755,0.21321299199079058,0.18975227172550002,0.1964856013951961,5503.9416585940435,5225.7516364858475,5346.086911926367,5715.571393072888,6928.101582565288,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,119.0023587467412,132.27380881296813,115.00054119786621,118.25095098741942,118.39141435186468,0.004524266155913266,0.012055919640157887,0.0022788425311248786,0.0014238836119166867,0.011465138663943244,0.1673346826594737,0.12197772744493629,0.18154789188857245,0.17123085386490788,0.20251370708964478,5528.842955564141,5288.752878274745,5358.269802156355,5723.7097015122245,7007.533227887283,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,119.51939696495243,134.0663670734292,115.36280936592709,118.08953243910454,119.95488305767844,0.004344772857079153,0.013551876040673438,0.0031501431583490225,-0.0013650507413851148,0.013205929791218362,0.1481622265227749,0.11933879023712657,0.14820382410630306,0.15486192643626717,0.20724986935672152,5552.864522368531,5360.425401690879,5375.149119114205,5715.8965473407015,7100.074219704392,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-04-01 00:00:00,119.36475509043326,134.7378120559751,115.49823606529804,117.14016859643203,119.61104664677062,-0.0012938642466923634,0.005008302956237619,0.001173919915051465,-0.008039356436287594,-0.0028663811104921843,0.13037438137135915,0.12172538897553187,0.12501670580433544,0.13022534598884383,0.1981731479961808,5545.679869496313,5387.272036076859,5381.459113711505,5669.944417643684,7079.722701077939,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-05-01 00:00:00,119.449550289355,136.31953295817482,115.15761535414825,116.99160393235778,118.86428788233039,0.0007103872399980809,0.011739250311876956,-0.0029491421060076906,-0.0012682640451550434,-0.006243225733535509,0.13346638821309798,0.15141038900978887,0.12019035123572164,0.1298860619759714,0.17604663028174738,5549.619449712717,5450.51457100654,5365.588426047499,5662.753431000759,7035.522394124274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-06-01 00:00:00,119.77631166788609,136.94223609128758,115.38785561375907,117.47676205216541,117.67308084524387,0.002735559721569093,0.004567967037444624,0.0019993489696948784,0.004146948186881339,-0.010021572150129337,0.1298505847447331,0.16962332666268187,0.11035054739133798,0.1244428759627918,0.15309367305052746,5564.800765149387,5475.412341904008,5376.316109738922,5686.236576074204,6965.015398837707,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
