Unnamed: 0,São Bernardo do Campo,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.,3505.812570167372,3355.3890244261515,3431.362424314154,3764.862695459653,3873.8562038274877,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,101.09230304567261,100.310086016619,101.45224761493256,100.78267996704278,101.60670959225959,0.010923030456726152,0.0031008601661898392,0.01452247614932562,0.007826799670427681,0.016067095922595868,.,.,.,.,.,3544.1066676468836,3365.7936165940655,3481.194303280948,3794.329521563682,3936.097823044727,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,102.65152417285019,103.01700833266625,102.96379014414013,101.81047171249791,101.27208505376416,0.015423737319280638,0.026985544759664245,0.014899054133770667,0.010198098976840384,-0.0032933311179769355,.,.,.,.,.,3598.7700379201806,3456.621390886457,3533.0608056557044,3833.0244695753363,3923.1349496006924,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,104.11267144346046,105.02672170231817,104.2550203833225,103.2448374646499,102.47639257498722,0.014234053340989889,0.019508558850418863,0.012540624596032909,0.014088587627827664,0.011891801384198899,.,.,.,.,.,3649.995122601893,3524.055092714182,3577.36759489439,3887.0263706945557,3969.788091224753,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,105.79402629528067,106.67718969137952,105.99191083378933,104.89993872171769,103.79612616973205,0.01614937767429481,0.01571474347013656,0.016660017369721603,0.016030837935451007,0.012878415814443595,.,.,.,.,.,3708.9402723461253,3579.434714470814,3636.96660116321,3949.3386604939847,4020.9126729587715,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,106.85680888316516,107.42057226251129,107.04103650714742,106.25494320302957,105.09226055182624,0.010045771250998361,0.006968524136063027,0.009898167370557855,0.012917114135847861,0.01248730978625067,.,.,.,.,.,3746.1994379057296,3604.378091672066,3672.9659053026526,4000.352718732702,4071.1230551294684,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,107.59467974532484,108.56611354737142,107.6860149323127,107.02564537243227,105.07358967076203,0.006905230184877038,0.010664077287362596,0.006025524847400129,0.007253330020891998,-0.00017766180845458753,.,.,.,.,.,3772.067807342926,3642.815458214533,3695.097452628707,4029.3685972016424,4070.399772045053,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,108.3186828152067,110.06052165519766,108.1314804176741,107.7519716427838,105.6998242571369,0.00672898577880944,0.013764959055794104,0.004136706940463896,0.006786469428182663,0.005959961854706888,.,.,.,.,.,3797.4499979752413,3692.9586638446694,3710.3829879066866,4056.7137840014307,4094.659199419849,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,109.87299788838097,112.01425219361269,109.50399231282537,109.42580013445802,107.12521442968844,0.014349464310103916,0.017751419937257592,0.01269299088341112,0.015534086904908248,0.013485265302655322,.,.,.,.,.,3851.9413711905913,3758.5139238975094,3757.4788453461492,4119.731128470448,4149.876765047984,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,111.56359930065777,114.53459222200995,111.03280416989686,110.67537226292393,109.02496781643156,0.015386868882874048,0.022500172781950482,0.013961243099740579,0.011419355644925635,0.017733951776497996,.,.,.,.,.,3911.210688013619,3843.08113658857,3809.93792094816,4166.775803387923,4223.470479477755,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,113.17481896558577,117.36467309281078,112.47966707933706,111.63408122378449,110.18466307930197,0.014442162811418871,0.024709398408780357,0.013030949909418478,0.008662351354762243,0.01063696955015871,.,.,.,.,.,3967.697029559673,3938.0413595098053,3859.5850311540294,4202.869879413391,4268.395406363955,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,113.93472237197899,118.90023749872519,113.2018708209551,111.6450945302134,111.2868595777249,0.006714421223190027,0.013083701981601385,0.00642074928181142,9.865541336643159e-05,0.010003175284292152,.,.,.,.,.,3994.3378187021367,3989.5655190488524,3884.366458970901,4203.2845152786695,4311.09291379648,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,114.23311432703197,118.34040127944824,113.81318339585262,112.05535956568146,111.20688449365458,0.0026189729420568837,-0.00470845333074256,0.005400198516722516,0.003674725138568689,-0.000718639059218448,0.1423311432703196,0.18340401279448248,0.13813183395852624,0.12055359565681467,0.1120688449365459,4004.7988813707525,3970.7808359924716,3905.342808961042,4218.730430551521,4307.994794040706,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,114.25588947649739,116.84445316711174,114.30013132879567,112.39345763094676,111.039045102904,0.00019937431978110068,-0.012641059994413766,0.00427848442872738,0.0030172413579836795,-0.0015092535998538895,0.13021353786823497,0.16483254882019938,0.12663971489944648,0.11520608171662872,0.09283181739174196,4005.5973354235857,3920.5859572200225,3922.0517573580246,4231.459358484765,4301.492937389648,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,114.3696621072641,115.53748893461112,114.81675328487898,112.9743325659385,110.6164384345383,0.000995770382498496,-0.011185505148724436,0.004519871937830046,0.005168227290409416,-0.003805928517973546,0.11415454401517011,0.12153799459515735,0.11511778193232547,0.109653365372534,0.0922697836804025,4009.5859906144156,3876.732222809521,3939.778929034824,4253.328502219545,4285.121762749375,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,115.33695403499405,117.05012962379449,115.53263568406446,114.09370730921106,111.48597649963233,0.008457591899001549,0.013092206721226738,0.006234999498803633,0.009908221786742812,0.00786083946834546,0.10780899611848938,0.11447951270491696,0.10817335471497369,0.1050790539359967,0.08791862884958923,4043.497432606986,3927.4872024733836,3964.343448682753,4295.471424351411,4318.806417028662,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,116.69035321495096,119.73702621753132,116.39371954122639,115.52060282614056,112.49941756084095,0.01173430659133145,0.022955092851009,0.00745316552386666,0.012506347199871436,0.00909030079861193,0.10299567282993527,0.12242388990499586,0.09813776000084196,0.10124566547743896,0.08384986716052278,4090.9450711824575,4017.643035877309,3993.8903565992428,4349.192081371476,4358.065666450427,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,118.01880786595268,122.58402337005404,117.24135394298486,116.60625459558862,113.904695771864,0.011384442795837847,0.02377708251539886,0.0072824754213497815,0.009397906026182916,0.012491426546835712,0.10445753620615617,0.14115965674141773,0.09529352264032243,0.09741957485008479,0.08385427408036294,4137.518201326249,4113.170865858781,4022.975764956743,4390.0653798420235,4412.504123609179,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,118.97704438312824,123.41624549811891,118.33150526287768,117.25141788141343,115.21809088445146,0.008119354317355474,0.006788993420068822,0.009298351505075299,0.005532836022067179,0.011530649405517115,0.10578928869666515,0.1367842272834776,0.09885675811530703,0.09554506747795921,0.09654663217918258,4171.112177597324,4141.095155802715,4060.3828077157104,4414.354891714844,4463.383161658916,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,119.71015257409897,122.64721392461601,119.49430759698627,118.03812411728792,117.11115681696556,0.0061617616639557055,-0.006231202143599639,0.00982665040493989,0.006709566929673691,0.01643028380337067,0.10516625075958763,0.11436155380809909,0.10508343301526568,0.0954613852320445,0.10795980636702107,4196.813576709303,4115.291154791027,4100.2827700773605,4443.973301312137,4536.717813728158,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,120.93264923578114,123.64102461051344,120.85374383703247,119.07802101911149,118.51733455842502,0.010212138531236661,0.008103002539529901,0.011376577406775735,0.008809839275235183,0.012007205629923032,0.10065850172428692,0.103797259627322,0.10364691993862385,0.08820790775843745,0.10634396569832583,4239.672018344433,4148.637369469204,4146.9299544008145,4483.1239918401325,4591.191117402526,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,122.09557781067531,124.40195712204293,122.34918560443202,119.9024977526847,119.09977244726068,0.009616332580516007,0.00615436918228832,0.012373979654416981,0.006923836376495424,0.0049143687799401235,0.094403358945371,0.08615183158731998,0.10191926178158472,0.08337108157938267,0.0924082330186271,4280.442114505141,4174.169615444354,4198.2439812848625,4514.164408815174,4613.753923692629,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,123.4863049685166,126.72674423674124,123.69061182185705,120.58991317582966,120.14737497245562,0.011390479350511826,0.01868770531011505,0.010963916194440374,0.005733120127012307,0.008796007781281444,0.09111113317589092,0.07976907273048872,0.09967085637453388,0.08022489058777738,0.09041831789223975,4329.198402021472,4252.175267132216,4244.273176459484,4540.044655643995,4654.336539106346,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,124.37143458135964,127.18375809968286,124.79510379938561,121.23795234378942,121.34833441127687,0.007167836247660811,0.00360629372824301,0.008929472991202385,0.00537390857073479,0.009995719332998901,0.09160255971227471,0.06966782216096479,0.1024120263592363,0.08592278822407184,0.09041026830777654,4360.229387250797,4267.509860129465,4282.172299155964,4564.442440530478,4700.859980832574,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,125.1148978614353,127.24201882283575,125.53110441471314,122.49712256363216,122.80709292452119,0.005977765574371633,0.00045808304474874786,0.005897672207642653,0.010385940998674783,0.012021248749078426,0.09525944905301653,0.07522044413528128,0.10295750166397277,0.09318396762477255,0.10431196309189383,4386.293816378268,4269.464734039688,4307.427147713033,4611.848470409675,4757.37018799675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,126.01974541191052,127.72384677174684,126.59044335761989,123.3929259172838,123.5675109473483,0.0072321327511080885,0.003786704685831478,0.008438856232850898,0.007312852211579866,0.0061919715280165325,0.10296060876435598,0.09311005623069946,0.10752666585718895,0.09786573452037328,0.112829373062725,4418.01607554368,4285.631936154068,4343.776906146062,4645.574236695983,4786.827688749061,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.18266992295413,.,.,.,.,0.0042079104439047615,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,126.86155545629417,128.64740252978757,127.4800638042799,124.13969430035947,124.0025838630906,0.0066799852803392495,0.0072308795998856515,0.0070275482340070305,0.0060519545794403985,0.0035209329087133,0.10922383715109918,0.1134689157265314,0.11029148758440499,0.09883095992538138,0.1210140700423481,4447.528357896614,4316.620824693823,4374.303007871769,4673.689040971885,4803.681787886718,101.58309985727429,.,.,.,.,0.01583099857274304,.,.,.,.,.,.,.,.,.,18.47051974455307,.,.,.,.,0.004246765779987922,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,127.87131656996522,130.5577909856548,128.38269013772623,124.71613198754159,124.80611114029432,0.007959551733692446,0.014849802003774643,0.007080529351100293,0.004643459857307302,0.0064799236610332345,0.10867603223827249,0.11540065273976774,0.11122445512973078,0.09310263404398067,0.11947811786629425,4482.928689948355,4380.721789265897,4405.275388709611,4695.391128419175,4834.809279164119,102.74907994111864,.,.,.,.,0.011478091193146816,.,.,.,.,.,.,.,.,.,18.68252605456587,.,.,.,.,0.004261544998108646,.,.,.,.,.,.,.,.,.,.,.,.,.
