Unnamed: 0,Brasília,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-10-01 00:00:00,104.83768481741313,106.94846791901328,106.35398366321785,101.14714492094933,108.40229544047905,0.013767512255315004,0.0206781506689019,0.024214679431242885,0.0010946417836846388,0.01574460130075294,.,.,.,.,.,6230.672274379083,5976.553548834434,5306.725656792989,6344.665071102386,9954.033338967747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-11-01 00:00:00,107.7284408727908,112.3691254875901,109.61236960463421,101.76349377586939,112.49537457285015,0.02757363499978323,0.05068476130655376,0.030637178121455392,0.006093586283644117,0.037758233031315286,.,.,.,.,.,6402.474557476081,6279.473738892944,5469.308755981853,6383.326835153971,10329.880049381973,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-12-01 00:00:00,108.09867129729238,114.29830358041947,110.04336309492756,101.11476390778138,112.88823605330285,0.003436700851716124,0.01716822200456141,0.003931978588255232,-0.006374878102326314,0.003492245631826342,.,.,.,.,.,6424.477947240851,6387.281138114072,5490.813960902931,6342.633904692556,10365.954527861715,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,109.00378671277707,119.15852386335666,109.25928912956917,100.33553928917392,114.8624708850357,0.008373048480822202,0.04252224338148275,-0.0071251363399537524,-0.007706338703595502,0.017488401810093698,.,.,.,.,.,6478.270412557071,6658.882661214912,5451.691162814177,6293.755419550087,10547.23850579012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,110.45135432013332,122.84721874854083,109.45049197312193,100.72341204102952,117.75497281516365,0.013279975411960427,0.030956198227280192,0.001749991649003059,0.0038657563870537442,0.025182306351593367,.,.,.,.,.,6564.301684347859,6865.0163528476805,5461.231576822046,6318.085544761766,10812.84229700625,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,113.07219123613287,128.5187940036027,110.32178890401879,102.58093690766337,120.59311126993312,0.02372842716263382,0.04616771395265507,0.007960648830256718,0.018441838188297185,0.024102068786720277,.,.,.,.,.,6720.062238738462,7181.958464106251,5504.706523585835,6434.6026560380815,11073.454165828653,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,115.8869877441953,132.9400234920673,111.66669900945587,105.44664702841212,123.32762951711989,0.024893799945772625,0.0344014237197144,0.0121907931225368,0.027936088391630448,0.022675575896419786,.,.,.,.,.,6887.350123732757,7429.028060367358,5571.81326201515,6614.360284602181,11324.551116201426,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,118.1415162937903,136.06655087805635,114.38355204711898,107.04424430674672,125.03140111297849,0.01945454440986582,0.02351833032567199,0.02433002015608117,0.01515076413860889,0.013815003195387705,.,.,.,.,.,7021.34038258121,7603.746396289765,5707.375590985899,6714.57289720197,11480.99982605808,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,119.65533528432432,135.62297255516887,117.53236973088764,108.72313170201747,126.32380272042312,0.01281360725699094,-0.0032600100467381093,0.027528588047969905,0.015684051077605926,0.0103366162095297,.,.,.,.,.,7111.309080661256,7578.958106645011,5864.491582465189,6819.884601485994,11599.67451496172,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,120.5722682400778,132.00492216250902,120.63644803076502,110.4513036021348,128.5550957900559,0.007663118017885801,-0.02667726805050003,0.026410411931493745,0.01589516299855866,0.017663282940991152,.,.,.,.,.,7165.803881408026,7376.772209690532,6019.375220926873,6928.287778857974,11804.562847942894,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,121.19722066920191,129.14033919148747,122.30703116574378,112.27096561229429,129.84599730327628,0.005183218647589272,-0.02170057694890347,0.013848079599896137,0.016474789801614678,0.01004162071745927,0.2119722066920191,0.29140339191487463,0.22307031165743774,0.12270965612294282,0.29845997303276284,7202.945809711108,7216.69199671961,6102.73200812791,7042.429863699755,11923.099790797347,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,122.30324666108902,128.75534550774688,124.02155870955642,113.4913402298292,131.99880932913172,0.009125836267367078,-0.0029812039069351385,0.0140182255056882,0.010869903994138936,0.016579733457837642,0.1826573462042591,0.22879523660964174,0.19435771581918115,0.12327018900757314,0.2368472218174691,7268.67871381325,7195.177566343842,6188.281481618629,7118.980400203628,12120.781607319968,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,123.16122628245772,128.86810361478146,126.14226511480514,114.04147705876356,132.57624989968417,0.007015182710122378,0.0008757547625686379,0.01709949808174201,0.004847390363179233,0.004374589236730358,0.17478010409097777,0.20495511644324638,0.18606055711320768,0.1274809303603348,0.223002237738392,7319.669823051827,7201.478777365095,6294.097988942847,7153.4888771912365,12173.80504808011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,123.50827587074475,127.54866185050935,127.66539059851642,114.07179016988474,134.36365186266798,0.0028178477818263845,-0.010238699315512963,0.01207466412883141,0.0002658077736537016,0.013482067597599661,0.14647789265406042,0.1350863619971454,0.16469875670965295,0.12095001790252935,0.19439267945773442,7340.295538426415,7127.745001536606,6370.097108153286,7155.390330143539,12337.933110658327,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,123.23630770878731,126.70204839256881,128.73040868217987,113.13484951793932,134.34705590980928,-0.002202023791847581,-0.006637572246212816,0.008342261584525496,-0.00821360522658636,-0.00012351519647339087,0.1400353605629756,0.10852081285197857,0.1698152897338494,0.11887567300380075,0.19008907045348944,7324.132033011608,7080.434079136324,6423.23812454833,7096.618778729608,12336.409188426089,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,123.25316258495457,127.79085194110941,128.48186624499164,112.33961643714254,135.2591010885616,0.0001367687533051714,0.008593417094308537,-0.001930720485801004,-0.007029072687904845,0.006788724714329383,0.13072367760694714,0.07244406692761429,0.17593540346603076,0.11963933450710851,0.17757436390116155,7325.133745418805,7141.279202387098,6410.836647116086,7046.736129495566,12420.157674369639,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,125.10737863622518,131.30737645959485,129.432453293978,114.1554625128764,136.1485359991492,0.01504396327349855,0.027517811056663056,0.007398608665706636,0.016163897771093914,0.006575786053799405,0.13269211958789295,0.06886731174900551,0.18256620834343162,0.13335579285554133,0.15620200781547755,7435.332788458351,7337.791574181263,6458.2679186878695,7160.638851912606,12501.829973990747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,127.21287263312324,132.2838127516939,132.30506051327066,116.73233362410318,137.42624236845634,0.016829494949456198,0.00743626381416197,0.02219387136832031,0.022573349137244306,0.009384650080373343,0.1250588782476132,0.02929547213138073,0.19926500311173867,0.13795347501239896,0.13958617470979995,7560.465684069238,7392.3573281402105,6601.601886137377,7322.278452762546,12619.155273660976,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,129.04583401354583,132.7648105103557,135.6064545020314,119.29004027975952,136.8010353470977,0.014408615594341466,0.0036361044383008954,0.02495289277638469,0.021910867162928165,-0.00454940054085451,0.11354895424840006,-0.001317985186922055,0.2143858079887211,0.1312833896711516,0.10924888350430417,7669.401527825201,7419.236711430568,6766.330950154543,7482.715923270998,12561.745681833856,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,129.6355825598808,132.24629568467623,137.63099410896217,119.66119433826017,137.12384903950826,0.004570070400513951,-0.0039055139964140873,0.01492952245057363,0.0031113583131520076,0.0023597313543096544,0.097290661459833,-0.028076372692094287,0.2032411272930803,0.11786668319464466,0.09671528767083903,7704.451232737173,7390.260778611367,6867.349039982886,7505.997333663821,12591.388026984143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,130.0522214177471,134.55033922620743,135.90670143437754,120.63295594939292,136.93489730499022,0.003213923597511089,0.017422367330612375,-0.012528374773050894,0.008120941935325863,-0.0013779640510499342,0.08689028457208159,-0.007908935401966022,0.15633422303626965,0.10954268940686207,0.08399917003805935,7729.21275035994,7519.016616565351,6781.31231751263,7566.953102177215,12574.037546930138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,129.90464086850187,134.65887725870516,135.18437306757087,119.996298271089,138.75705369470248,-0.0011347791497629271,0.0008066723066022366,-0.00531488410198398,-0.005277643022948033,0.013306734992861963,0.07740065576142174,0.02010497072926487,0.12059311488594071,0.08641812597646625,0.07935864262671832,7720.44180088675,7525.081999042817,6745.270428485694,7527.017424932535,12741.356932357432,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,130.10961779572452,135.1625876230794,135.1383471642011,120.04594975762346,139.35432969647349,0.0015779030360442278,0.00374063986443692,-0.0003404676319117375,0.0004137751518157606,0.004304473076267233,0.07353631607484035,0.04663336389927086,0.10491069790639451,0.06925195755578106,0.07322776666722319,7732.623909443972,7553.230620751593,6742.973882236303,7530.131917710256,12796.201760227874,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,127.89383575327172,134.065159341694,135.37630225703245,118.96037261129634,127.61382283392173,-0.017030117219555805,-0.008119319855326577,0.001760825833856197,-0.009043013517065306,-0.08424931531100366,0.04571088049424077,0.041239560291713495,0.09155459474644623,0.04818898402637495,-0.03321989431189687,7600.936417851401,7491.903525400664,6754.8470848451625,7462.036832993118,11718.130523347216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,126.52363547395153,137.5142475404887,134.49780309629048,119.04429774192498,113.37469853919868,-0.010713575609410315,0.0257269540850948,-0.006489312723832533,0.0007054881284112881,-0.11157979581298208,0.02730087457705621,0.06709297089955402,0.06623900382540904,0.043868431137414676,-0.14483402098803244,7519.5032108364285,7684.647383408608,6711.012769709933,7467.301211392562,10410.623912242261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,126.32808499065466,142.9082678460547,136.29543272649445,118.58188228516715,100.82384478120098,-0.0015455648469500666,0.0392251741331591,0.013365494371064074,-0.003884398207466299,-0.11070242231919425,0.022830932583504993,0.12042153773080932,0.06759891688357333,0.03953731337577526,-0.24961964501938194,7507.881331007231,7986.079015174737,6800.708773107632,7438.295239952418,9258.142627302917,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,128.21041291856213,150.33969129963137,136.38653206510628,118.71306437175245,101.5363567322544,0.014900312373505283,0.052001354194440304,0.0006683961214946557,0.0011062574151912015,0.0070668992300349015,0.04036233559941471,0.1865608583834777,0.059474085892389894,0.04930589360910065,-0.24422343277534542,7619.751108102447,8401.365938667626,6805.254340474992,7446.523909217997,9323.568988307357,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,128.12444655525292,149.55746998965864,137.16839858244427,118.54863150580739,101.17003779699441,-0.0006705099948771877,-0.005203025915582929,0.00573272525886026,-0.001385128644562119,-0.003607761269453017,0.039522588046702056,0.17033001750845256,0.06760901434050615,0.055270039773893886,-0.25202787108016644,7614.641988825988,8357.653413962444,6844.266993925601,7436.209515648922,9289.93177721827,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,128.27226496193651,148.57693920264708,138.5650851211649,118.77008428225898,100.78794860504026,0.0011537096210585223,-0.0065562140565720356,0.010182276334451571,0.0018680331745604293,-0.0037767030661869055,0.025297359438038347,0.131520126353041,0.07055905682668406,0.04042401185017375,-0.2597206582840518,7623.427074549413,8302.858849169865,6913.9572117645175,7450.100601717137,9254.846463390582,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,128.173461695205,148.01376568842213,138.63445028709123,118.79683402365272,100.93209690929766,-0.0007702621198809182,-0.003790450370342015,0.0005005962783891117,0.00022522288803105838,0.001430213693725155,0.007551036638030029,0.1189106407618783,0.04783936267642397,0.01768576310825387,-0.2655544154464581,7617.555037450212,8271.387274770132,6917.418313013668,7451.778534890777,9268.082871535848,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,128.38854753980306,148.99809354653127,138.47923151650443,119.05892311765594,100.41360324945539,0.0016780840725791851,0.006650245357456771,-0.0011196262564272387,0.002206195949220527,-0.005137054274302907,-0.005093434272924857,0.12227097657710573,0.021184662817284927,-0.0019374388805768472,-0.26598798762976084,7630.337935230553,8326.3940295939,6909.673389843727,7468.218618508942,9220.47222680603,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,128.59717341168408,150.45503483520164,137.97632068060273,119.14598255486287,100.02588294832451,0.0016249570220923963,0.009778254566830302,-0.003631669748555416,0.0007312298392024723,-0.003861232826867845,-0.008010217007487497,0.13768808461706739,0.0025090756182954976,-0.004305587841125003,-0.27054350028123153,7642.736906439342,8407.811630039005,6884.579738021433,7473.679602808483,9184.869836764663,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,129.14266028465974,152.58312066711125,137.87991691261578,119.51129268956329,99.39412001806917,0.004241826305383703,0.014144331123518527,-0.0006986979179572667,0.0030660717790650244,-0.0063159945369512275,-0.006993814662847653,0.1340225639311612,0.01451889757762248,-0.009298149506509534,-0.2741505490985823,7675.156068894203,8526.734501758447,6879.769496492467,7496.594440924427,9126.85824905305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,130.00534190874183,154.0285986722806,138.80948514711764,120.3045456373206,99.30096349508324,0.006680067006367551,0.009473380796313248,0.00674186825258234,0.006637472743415244,-0.0009372438024402565,0.0007751920144398738,0.1438428851323521,0.026816058670736886,0.0025688072938319095,-0.28435376183780714,7726.426625718744,8607.511504642665,6926.151996045955,7546.352882194502,9118.304157723374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
