Unnamed: 0,Salvador,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-10-01 00:00:00,100.01987122895903,103.76465805013513,101.51509657343182,99.6555133015151,97.59535886975327,0.009377589924339982,0.03764658050135135,-0.0006885559679071526,0.016488968303259185,0.003100666269205669,.,.,.,.,.,3350.468957038139,4312.520582947405,2893.0019542516407,3281.20220348344,3924.9265297234797,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-11-01 00:00:00,100.92112557888376,108.95878925142632,102.60124722744506,100.49821112918755,97.32158730081804,0.009010752951897277,0.05005684304169923,0.010699400292916612,0.008456108445528696,-0.0028051699599834206,.,.,.,.,.,3380.65920508301,4528.391748882101,2923.9553402083693,3308.948405147804,3913.9164437271575,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-12-01 00:00:00,102.55725798483985,111.58526492743101,102.559019428072,102.78392719338515,99.91706018119902,0.016211991261207485,0.024105220827518477,-0.00041157198878337723,0.02274384825874538,0.026669035641172296,.,.,.,.,.,3435.4664225729366,4637.549631982417,2922.7519220938857,3384.206625570503,4018.2968208614875,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,102.8423315842798,110.39487966060491,103.3523688627082,101.55386748469957,103.11849533479237,0.0027796530937097687,-0.010667943187662362,0.007735540365541504,-0.011967432479703466,0.03204092622208425,.,.,.,.,.,3445.0158274427777,4588.076515978463,2945.3609875657066,3343.706361281623,4147.046772837146,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,103.44659799371958,107.80810757243871,105.76147245326527,100.5734997962732,105.16223690396863,0.005875658399912623,-0.02343199336888546,0.023309611739594394,-0.009653671619882767,0.019819350180982565,.,.,.,.,.,3465.257563627124,4480.568737480116,3014.0162086188116,3311.427318076497,4229.238545044918,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,104.51506763956709,107.78899100955908,106.3576806707516,100.61782386677311,109.50493185938996,0.010328707435235153,-0.0001773202712679499,0.005637291195522967,0.0004407132156054646,0.04129519381930746,.,.,.,.,.,3501.049195189564,4479.7742418161515,3031.007095654822,3312.8867078580906,4403.885770470634,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,105.41558271876728,107.82207733937504,107.14548922356019,102.15416553826527,109.37494634750232,0.008616126837383149,0.0003069546296525094,0.007407161832038948,0.015269080690180856,-0.0011870288367883926,.,.,.,.,.,3531.2146791192354,4481.149329259475,3053.4582557263957,3363.471442317804,4398.658231067164,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,106.00875800249473,112.6111198671226,106.10664865786157,103.23349767756169,110.46007921556674,0.005627017073082554,0.044416158971541775,-0.009695607096730537,0.0105657183298327,0.00992121966045831,.,.,.,.,.,3551.084884407359,4680.184770243081,3023.853124192604,3399.0089341877697,4442.298285588865,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,105.40998434487015,112.08943263243405,106.88330132816566,102.56811196505778,107.83039809952656,-0.005648341409777518,-0.004632644052417905,0.007319547645014882,-0.006445443847908343,-0.023806619864071076,.,.,.,.,.,3531.027144605126,4658.503140102998,3045.986361206659,3377.100812963923,4336.542178981036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,105.55326139793537,111.56774539774551,107.7596862704962,102.29353117399076,107.90752638214421,0.0013592360719499653,-0.00465420532905428,0.008199456149279777,-0.0026770580622618423,0.0007152740226967211,.,.,.,.,.,3535.8266440711077,4636.821509962915,3070.961792806677,3368.0601180055073,4339.64399494999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,105.90207881366095,106.77362643065658,108.56656325792228,103.2686879071982,107.3608525213586,0.0033046578675625946,-0.04297047457576225,0.007487744400077971,0.009532926686720863,-0.005066132818665735,0.0590207881366096,0.06773626430656576,0.08566563257922288,0.03268687907198209,0.07360852521358585,3547.511341408775,4437.575089156707,3093.9563697736185,3400.167588186922,4317.6587820858485,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,106.83583161130446,106.9298327327324,108.8120077068219,104.95308778618683,107.8919909536002,0.008817133790985332,0.0014629670949432988,0.0022607738656745366,0.016310848071414374,0.004947226291221366,0.07816269811551768,0.069298327327324,0.0711420096111468,0.07052437331031736,0.10893109328182415,3578.7902235310135,4444.067115493483,3100.95110547594,3455.627205135186,4339.019217129106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,107.90419436853686,107.55098910630733,108.13695509924275,107.39521349096181,108.75280295116926,0.010000041569568094,0.005809009120284578,-0.006203842956358017,0.023268736120943354,0.007978460587860099,0.07882756738937946,0.03648960182900418,0.06523028346843907,0.07766454592461614,0.114323510980745,3614.578274535087,4469.88274189854,3081.7132918022226,3536.0352827038296,4373.637910942938,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,108.7439724264836,108.63709555138139,107.17292400624878,109.2549479942569,110.10201082895534,0.007782626642654465,0.010098525862932835,-0.00891490880346348,0.017316735474915832,0.012406189460623853,0.07751446293061015,-0.002952434606286025,0.044557711551685975,0.08713326104693353,0.1313215688584426,3642.7091877164435,4515.021968371881,3054.2400988473846,3597.2678703243805,4427.898091498263,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,109.52382281086385,110.09584211152591,107.22765827938646,110.66393893899303,110.46276858852444,0.007171435501010965,0.013427702137476358,0.0005107098984674084,0.012896358202561138,0.003276577392664826,0.0679285402409433,-0.013347844958505384,0.04552148487134011,0.07666579747222402,0.10554462259198627,3668.8326417050926,4575.648338507341,3055.799929498162,3643.6595253306477,4442.40644228189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,110.58532883132038,110.09584211152591,110.66178781093035,110.61720929594624,110.46021994364187,0.009692010315323265,0,0.03202652735916414,-0.0004222662187412607,-2.307243350074177e-05,0.07528998154514954,-0.0027087990855948485,0.07072328412648066,0.08924664353735401,0.07119697184305585,3704.391005513693,4575.648338507341,3153.6665895443666,3642.1209310005056,4442.303945154667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,112.91143869902074,110.09584211152591,114.53237470981615,113.01599770034801,110.1505786399457,0.02103452503404351,0,0.034976724806749314,0.021685490166218433,-0.002803192894728554,0.09149494414379666,0.02122043128852824,0.08293097716114572,0.12371547106622494,0.04743472450602493,3782.311110855057,4575.648338507341,3263.9715179790996,3721.102108633895,4429.851310299386,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,112.96010513858243,112.15125343012907,116.11431107956992,112.41369369231772,109.35153294032789,0.00043101425437893856,0.01866929103935678,0.013812132803164382,-0.005329369472340129,-0.007254121671295971,0.08080210528245635,0.04047038922725532,0.09173414037695715,0.11723439617580467,-0.0014008402768475037,3783.9413408583314,4661.072449032684,3309.053926051173,3701.2709806526814,4397.716629908724,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,112.2529845094277,111.62139265333754,114.86658848131503,111.45205949135301,110.12790709288575,-0.006259914757402265,-0.004724519437686318,-0.010745640108047072,-0.008554422236109055,0.007099801271021344,0.06486139538688107,0.03523689589103318,0.07206182279540196,0.09101825563446941,0.0068842159061834884,3760.2541906175475,4639.051121646765,3273.496023463707,3669.6087458739207,4428.939544027341,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,110.8248755703321,106.42952529310206,112.7256108311305,109.77626381271351,110.44040426187047,-0.012722235808132708,-0.04651319282818706,-0.01863881985606989,-0.015036022539982916,0.0028375838353229487,0.04543131773814402,-0.05489328745966304,0.06238027736236984,0.06337832469444571,-0.00017811822910129838,3712.415350105992,4423.274042285791,3212.481920782806,3614.432426058042,4441.507031285096,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,113.15937402193498,107.4648729395312,112.84325689549007,113.60055274352908,112.65903365168818,0.021064751388972836,0.009728011504118353,0.0010436498280396336,0.03483712050302694,0.020088928546087268,0.07351665712909239,-0.041257766983867294,0.05576133496312452,0.1075620928094081,0.0447799102782207,3790.616456508581,4466.303703055016,3215.8346269870117,3740.3488440346737,4530.732148673526,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,115.18619590928182,110.26013737756342,113.08174206607674,117.271270524015,113.51012157672953,0.017911215088145915,0.02601095931695817,0.0021134197748965866,0.03231249929543149,0.007554546648009487,0.09126136306703336,-0.01172030514303568,0.04938818940342138,0.14641922297655996,0.051920337555920515,3858.5110031777717,4582.476546972359,3222.631035480483,3861.2088634222123,4564.959776040317,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,116.40616600493159,114.08723663302601,114.62873495676475,118.13778143211061,115.0755586285037,0.010591287315457375,0.03470972689211743,0.013680306497082984,0.007388944489333964,0.013791167078576139,0.09918678942793013,0.06849641102261539,0.05583829419413888,0.14398453031837133,0.07185772025804593,3899.3776018222816,4741.533056407303,3266.717615772868,3889.7391213757633,4627.915899018669,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,116.21141179960219,113.83032232100032,116.3249061566545,116.44421990967223,115.53919185706965,-0.0016730574677732073,-0.0022519110779418384,0.014797085569595877,-0.014335477625433617,0.004028946147136926,0.08775688874130205,0.06453287554947806,0.06904475533688359,0.10948827105397263,0.0708783000098514,3892.853719005885,4730.855545591152,3315.055515865165,3833.977853232507,4646.561522949294,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,116.63262285123325,113.68581514788143,118.61854679431156,115.52459372466171,116.26189573949577,0.0036245240042122534,-0.0012694963009187443,0.0197175369698403,-0.007897568344086829,0.006255053984799878,0.08089053936944501,0.0570410936482435,0.09692885919942285,0.07569592693611127,0.06904734944347268,3906.9634607553094,4724.849741975843,3380.4202455563095,3803.698751106888,4675.626016119036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,118.07973289601857,116.03589529486162,121.71786873357252,116.4986588343807,116.23721807334448,0.01240742092056988,0.02067170951735031,0.026128476726622645,0.008431668775572963,-0.0002122592788835029,0.08585083164813034,0.06810564757763493,0.1357147326359751,0.06630098657412375,0.05572293546863771,3955.438800934187,4822.520463355095,3468.7454772685314,3835.770279098282,4674.633571112526,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,120.52119635794138,118.35310267125209,124.37664263516561,117.93862676013502,120.78628320646212,0.020676397227903386,0.019969746176406632,0.021843743480366606,0.012360382000632605,0.039136046169370796,0.10041078977008344,0.07500065762121744,0.15993060588059005,0.06573675120268763,0.09345696065606446,4037.223024792964,4918.824972938823,3544.515863672667,3883.1818650146097,4857.580246376476,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,122.25081195792733,120.50655491930075,126.08818656682735,120.02765872945749,121.35163396533144,0.014351132018712177,0.018195148242376686,0.013760975496679106,0.017712873438582334,0.004680587429807547,0.10548852410974607,0.09456045394728796,0.13940131513376186,0.08507220073085064,0.09860032894418014,4095.1617454107527,5008.323722499749,3593.291859620257,3951.964173928611,4880.316575416947,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,123.85589154794822,123.90070224464198,127.80772902801814,120.61256130387687,122.69549372595378,0.013129398196335022,0.02816566557407734,0.01363761751208488,0.004873064930290388,0.011074096958647105,0.09692953145430439,0.12538947764377784,0.11590918595582234,0.06721671053748057,0.11388878062106444,4148.9287546446485,5149.386493554396,3642.2957996110467,3971.2223519503473,4934.361674362007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,123.86078307276509,124.77650594773256,127.81610950641492,120.10376097987617,122.70294785438887,3.949367895016544e-05,0.007068593536792854,6.557098276065555e-05,-0.004218468777218133,6.0753074206039404e-05,0.09650024600109397,0.11257344105805367,0.10077826168064741,0.06840863452638235,0.12209627569964399,4149.092611104871,5185.785413641183,3642.534628526132,3954.469874451254,4934.661452002969,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,124.32741487425864,126.11786174640886,128.16230417604012,119.49670276131067,124.48815610204707,0.003767389402175939,0.010750066997694005,0.0027085370612678294,-0.0050544480340396925,0.014549024932772702,0.1075644484429441,0.12987178128204335,0.11574919975000264,0.0721803016173228,0.13039609476142489,4164.723858636594,5241.532954273491,3652.400568564447,3934.482211968665,5006.455964502952,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,124.77135117466231,123.59639962930628,129.4814340286093,120.85542305683163,124.96435280224539,0.0035707032182135338,-0.019992902529322905,0.010292650877728161,0.011370358044396593,0.0038252369953007638,0.12584246571501412,0.1612980447758967,0.14864255845621455,0.10092490725517855,0.13150937501040372,4179.594851521598,5136.739496814466,3689.9934524822966,3979.2186834380586,5025.606845073713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,126.81383519082392,125.19478115070827,131.79624080715212,123.28941472648478,126.25237315223718,0.01636981564223358,0.012932266038459907,0.017877518857501447,0.020139697566641954,0.010307102154404583,0.12066575382647615,0.1649832892014249,0.16795849777018912,0.08528886302894856,0.12065911680527996,4248.014048700235,5203.169178557535,3755.9613800131065,4059.358944274032,5077.406288213762,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
