Unnamed: 0,Campinas,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.,4082.5788302612555,4435.464683625988,3699.56776819973,4309.971594807151,5080.855186341835,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,101.22110947634289,101.13313891826385,101.31782906121141,101.25537409004757,99.95474283253448,0.012211094763428864,0.011331389182638608,0.013178290612114079,0.012553740900475566,-0.00045257167465515593,.,.,.,.,.,4132.431587236744,4485.724660162003,3748.3217473882764,4364.07786149677,5078.555735201472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,102.20033380249714,101.7446456308565,102.99008164366985,101.73266869861494,99.89941263760615,0.009674111766015715,0.006046551299934083,0.016505017902112198,0.0047137706305140645,-0.000553552471452335,.,.,.,.,.,4172.409192277086,4512.847824437052,3810.1878649317964,4384.64912354957,5075.744488122843,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,103.36531243223817,103.04600038840108,104.19344013823847,102.7037960046173,100.9958935440369,0.011398970887828586,0.012790400413463375,0.011684217308731181,0.009545874677477962,0.010975849381700965,.,.,.,.,.,4219.970363191961,4570.568955116629,3854.7069279327507,4426.504434587688,5131.455095124478,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,104.51697524618262,103.86060262204494,105.53221121940382,103.94885388911467,102.28027132979132,0.011141675934075442,0.00790522902949612,0.0128488998864912,0.012122802982290862,0.012717128792908728,.,.,.,.,.,4266.987905430049,4606.70034950193,3904.235671341523,4480.166075748431,5196.712470464205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,105.68386410714098,104.37847495564353,106.7298597305795,105.76757956743893,103.38083822003016,0.01116458697938619,0.00498622500278725,0.011348653622785882,0.017496351429370696,0.010760304757993614,.,.,.,.,.,4314.627063040211,4629.670393964965,3948.5434896373026,4558.55263587167,5252.630680386065,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,106.8405927496326,105.07356931900418,107.89309767374775,107.44926905850988,103.80036888514958,0.010945177414396545,0.006659365004671916,0.010898898828356204,0.015899857952206248,0.004058108565791512,.,.,.,.,.,4361.851421722143,4660.501058969702,3991.5782656502242,4631.032975249685,5273.94642594308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,108.02224138206579,105.74402340398814,109.21460766244,108.98676544513815,104.90423142556243,0.011059922095361514,0.006380806223004245,0.012248327438779157,0.014309044631946734,0.01063447608393581,.,.,.,.,.,4410.093158637931,4690.238813129094,4040.468423245423,4697.298632784549,5330.032083077731,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,108.82441516077618,105.51591490446394,110.56514444923121,110.07790747422362,106.60878469289621,0.007426005685932449,-0.002157176284589873,0.012365898808751477,0.010011692930135882,0.016248660746762025,.,.,.,.,.,4442.842535509469,4680.121141192349,4090.4324469072308,4744.326544297135,5416.637966165018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,109.79449896608068,105.76238544289137,112.13225734982089,110.93970639922445,108.55240057407698,0.008914211060737563,0.0023358612646309667,0.014173661223852,0.00782899080092547,0.01823129197823298,.,.,.,.,.,4482.446971580623,4691.05325487984,4148.408850668747,4781.469833169024,5515.390274466555,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,110.83088910037311,106.3661641517153,113.6088020098182,111.77563016611307,110.53586001353702,0.009439363028675951,0.005708822718923478,0.01316788491460509,0.00753493761629857,0.018271907659071197,.,.,.,.,.,4524.758415802162,4717.833646276978,4203.034620993081,4817.497910076166,5616.166976265346,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,112.81232560566389,109.22049196412343,115.4778568472174,112.9536906123994,113.02500023108058,0.01787801687214024,0.02683492288334147,0.01645167279589537,0.0105395106655679,0.02251884788555248,.,.,.,.,.,4605.652123102232,4844.436348351254,4272.181571327479,4868.2719806807645,5742.636586103729,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,114.2968399049305,111.26738141097805,116.89880261245153,113.92266272923159,114.59275374948736,0.013159149865022046,0.0187408920253442,0.012304919783141681,0.008578490101374566,0.01387085613980541,0.14296839904930492,0.1126738141097805,0.16898802612451536,0.13922662729231594,0.14592753749487364,4666.258589616292,4935.225406879358,4324.75042286168,4910.034403677833,5822.291872052757,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,116.13322419448929,114.08754758947843,118.56170660281897,115.01013765975593,115.41928046009284,0.016066798444176335,0.025345848376567795,0.014225158455047533,0.009545729571902745,0.0072127310284589175,0.14732218205562764,0.1280926193904095,0.17019588458798918,0.13584230657699314,0.1547153960814831,4741.230425864062,5060.3128817463075,4386.2706829054205,4956.90426428408,5864.2864972950565,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.,21.389988164378348,24.557996699355446,19.895524381535417,20.32159050018576,20.966112930272967,0.004415260986843764,0.004524047144470867,0.0044597801164145065,0.004283988589389785,0.0037383372725144,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,117.50360446089482,115.82160230892885,119.87965226227072,116.11103083175833,116.01363052015388,0.011800070788619001,0.015199333810645666,0.01111611579501677,0.009572140286095935,0.005149486790177616,0.14973797138443157,0.13835574924645644,0.16399220535659187,0.1413347582155695,0.1613044306977407,4797.177280514413,5137.22626642228,4435.028975724885,5004.352447286555,5894.484563146693,101.56710098705682,101.90453712755527,101.58325081199968,101.23770507971999,100.60837868968872,0.015671009870568034,0.019045371275552673,0.01583250811999679,0.012377050797199834,0.0060837868968871755,.,.,.,.,.,21.725190880033658,25.02571286427847,20.21052043285767,20.573111858086452,21.09366629339682,0.004473649397987029,0.00459680389230661,0.0045194986811683295,0.004328172040654119,0.003760705688557305,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,118.90034472497835,117.60191221280073,121.24903345015092,117.16578041445166,116.92374131261607,0.01188678654150026,0.015371138616467293,0.011422965966603672,0.009083973978507045,0.0078448608873084,0.15029251039050728,0.14125644633984313,0.16369162290144135,0.14081255973424955,0.1577078751388461,4854.200302849622,5216.191283467613,4485.690160775491,5049.8118546969845,5940.7259745469655,101.82039637969092,102.21095098233084,102.10704437045014,101.02375590589892,101.59232899765416,0.0024938724269227977,0.0030068715624704287,0.0051562984474659655,-0.002113334884987607,0.009780003621768755,.,.,.,.,.,21.779370734539008,25.100961968620624,20.314731907988094,20.529633983104006,21.299962426142624,0.004483828933317279,0.004609853197521073,0.004542802565201362,0.004316498733477804,0.003797462647468155,.,.,.,.,.,.,.,.,.
,2014-04-01 00:00:00,119.40059467152608,118.19478755671932,121.89818958205116,117.3619597141692,117.43657725437832,0.004207304425439821,0.005041375031774817,0.005353907684279712,0.0016743736867845351,0.004386071947450764,0.14240384770307513,0.13801368924112012,0.15508040790145206,0.12903562976617988,0.14818406059676148,4874.623401265772,5242.488059965048,4509.7061317965645,5058.267126789702,5966.782426091418,102.8345330674415,104.86339342190885,102.679085371787,100.99588968898655,101.92452558802145,0.009960054407653695,0.02595066785002842,0.0056023656826406035,-0.00027583825865991075,0.003269898363831815,.,.,.,.,.,21.996294452019477,25.752348695384494,20.42854246488145,20.52397112461518,21.369611138429544,0.004527941868154632,0.004730938096024013,0.004568253006395658,0.004312871722530828,0.003809895308487221,.,.,.,.,.,.,.,.,.
,2014-05-01 00:00:00,119.55835829691617,118.12431348078417,122.2701330120053,117.48700905216654,117.26559497556713,0.001321296814509971,-0.0005962536706733561,0.0030512629533664378,0.0010655014478447057,-0.0014559542078685867,0.13128299487336492,0.13169227209903234,0.14560380122914474,0.1108036085599855,0.1343068695765981,4881.0642256378005,5239.362207215832,4523.466431047084,5063.656717736882,5958.095064110713,102.78251556642208,106.46519802097242,102.17697173577422,99.86321475641272,101.96177419468297,-0.0005058368961067079,0.015275155102208518,-0.004890125717371691,-0.011215059702546958,0.0003654528333256979,.,.,.,.,.,21.985167914708015,26.14571981595265,20.328644324005513,20.29379356311927,21.377420723367152,0.004525058173833933,0.00480197979585323,0.004545913674885622,0.00426446182060507,0.003811379838433864,.,.,.,.,.,.,.,.,.
,2014-06-01 00:00:00,119.62745333376178,117.79058019301208,122.44453043787436,117.85403390829839,117.08855945311936,0.0005779189161665847,-0.0028252717661413833,0.001426328912654002,0.003123961185945921,-0.0015096970469867506,0.11968167018778675,0.12102958866276792,0.13486898678289805,0.09683420781692575,0.12801679522615728,4883.885084984821,5224.559585099197,4529.918382003107,5079.475384782046,5949.100145586758,102.62389398339022,107.00351212103702,101.74293771675406,99.39142957935175,101.34638056676476,-0.0015432739912787908,0.005056244764214447,-0.004247865361899283,-0.004724313934933476,-0.006035532755081285,.,.,.,.,.,21.951238776871353,26.277918974878677,20.242290979927198,20.19791931139636,21.248396600372118,0.004519426641243155,0.004831246974189841,0.0045266032456478915,0.004244366180838382,0.003788816034567796,.,.,.,.,.,.,.,.,.
