Unnamed: 0,Vila Velha,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3302.9061982720013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,98.97189012415292,.,.,.,.,-0.010281098758470799,.,.,.,.,.,.,.,.,.,3268.9486934576016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,97.85897737725854,.,.,.,.,-0.011244735707263195,.,.,.,.,.,.,.,.,.,3232.190229359068,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,97.91959844485923,.,.,.,.,0.0006194737491174948,.,.,.,.,.,.,.,.,.,3234.19248635831,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,98.56896576514586,.,.,.,.,0.006631637900887686,.,.,.,.,.,.,.,.,.,3255.6404798296094,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,99.18298816918352,.,.,.,.,0.006229368435300957,.,.,.,.,.,.,.,.,.,3275.921063871348,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,99.72277969872539,.,.,.,.,0.005442380185411434,.,.,.,.,.,.,.,.,.,3293.7498717583335,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,100.76951210861874,.,.,.,.,0.010496422312491288,.,.,.,.,.,.,.,.,.,3328.3224614040228,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,101.79984342459868,.,.,.,.,0.010224633367971036,.,.,.,.,.,.,.,.,.,3362.353338302262,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,102.3426380561533,.,.,.,.,0.00533197904136934,.,.,.,.,.,.,.,.,.,3380.281335831767,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,102.76978927824294,.,.,.,.,0.00417373667713407,.,.,.,.,.,.,.,.,.,3394.3897400221604,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,103.75660744817775,.,.,.,.,0.009602220427474637,.,.,.,.,.,.,.,.,.,3426.9834185226114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,104.9621917092162,.,.,.,.,0.011619349270267823,.,.,.,.,0.049621917092161905,.,.,.,.,3466.8027358058425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,106.78995701233488,.,.,.,.,0.017413558857290887,.,.,.,.,0.07899280167706979,.,.,.,.,3527.1721092924145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,108.30009516957595,.,.,.,.,0.014141200160485454,.,.,.,.,0.10669555386896801,.,.,.,.,3577.0505560904003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,109.52707332370042,.,.,.,.,0.01132942821705998,.,.,.,.,0.11854087499529142,.,.,.,.,3617.5764935944208,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,110.26004725050043,.,.,.,.,0.00669217120988671,.,.,.,.,0.1186081379123951,.,.,.,.,3641.785934854416,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,111.23810263050422,.,.,.,.,0.008870442235361386,.,.,.,.,0.12154417490182312,.,.,.,.,3674.090186623094,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,111.90787418208848,.,.,.,.,0.006021062349553217,.,.,.,.,0.12218967943107617,.,.,.,.,3696.212112714633,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,112.8864626330591,.,.,.,.,0.008744589762989547,.,.,.,.,0.12024421147717357,.,.,.,.,3728.5339713173153,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,113.52295920127871,.,.,.,.,0.005638378184358276,.,.,.,.,0.11515848534053141,.,.,.,.,3749.5568559208295,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,115.51056948771642,.,.,.,.,0.01750844322965217,.,.,.,.,0.1286651554197591,.,.,.,.,3815.205759269073,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-04-01 00:00:00,116.04294982359929,.,.,.,.,0.004608931790778379,.,.,.,.,0.12915430340544987,.,.,.,.,3832.7897823813296,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-05-01 00:00:00,116.17864753884858,.,.,.,.,0.0011693749207130635,.,.,.,.,0.11972288219692562,.,.,.,.,3837.271750629212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-06-01 00:00:00,115.93245565771858,.,.,.,.,-0.002119080281492165,.,.,.,.,0.10451633840587138,.,.,.,.,3829.1402637277265,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-07-01 00:00:00,116.39197372880247,.,.,.,.,0.003963670643194021,.,.,.,.,0.08991497875927124,.,.,.,.,3844.3177145797363,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-08-01 00:00:00,117.82511102922417,.,.,.,.,0.01231302515550574,.,.,.,.,0.08795020765894979,.,.,.,.,3891.652895305113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-09-01 00:00:00,118.57704913428641,.,.,.,.,0.0063818153744469655,.,.,.,.,0.08262775162301073,.,.,.,.,3916.488705584383,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-10-01 00:00:00,119.81703815836269,.,.,.,.,0.010457243059506504,.,.,.,.,0.08667682579665215,.,.,.,.,3957.4443799184905,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-11-01 00:00:00,120.65360056198338,.,.,.,.,0.006981998691329777,.,.,.,.,0.08464274119052795,.,.,.,.,3985.075251400092,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-12-01 00:00:00,121.5592091334916,.,.,.,.,0.0075058561641762785,.,.,.,.,0.08624357331369881,.,.,.,.,4014.9866530405193,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-01-01 00:00:00,122.48079504521009,.,.,.,.,0.007581374692117561,.,.,.,.,0.0849909917306706,.,.,.,.,4045.425771241071,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-02-01 00:00:00,123.0078536644718,.,.,.,.,0.004303193974754601,.,.,.,.,0.08355045120323323,.,.,.,.,4062.8340230451927,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-03-01 00:00:00,123.16219977221265,.,.,.,.,0.0012547662864020137,.,.,.,.,0.06624181941471519,.,.,.,.,4067.9319302045565,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-04-01 00:00:00,124.16766096606595,.,.,.,.,0.008163715780595925,.,.,.,.,0.0700146898611016,.,.,.,.,4101.141370297557,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-05-01 00:00:00,124.6238319608487,.,.,.,.,0.003673830941434925,.,.,.,.,0.07269136455712455,.,.,.,.,4116.208270358956,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-06-01 00:00:00,123.65933033231205,.,.,.,.,-0.007739303256536449,.,.,.,.,0.06664979733894771,.,.,.,.,4084.351686287584,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-07-01 00:00:00,123.0445444534479,.,.,.,.,-0.0049716093174046756,.,.,.,.,0.05715661064521638,.,.,.,.,4064.045885388479,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-08-01 00:00:00,123.9278040334536,.,.,.,.,0.007178372547348999,.,.,.,.,0.05179450246998507,.,.,.,.,4093.2191208033187,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-09-01 00:00:00,125.24898647978183,.,.,.,.,0.010660904198476696,.,.,.,.,0.05626668393425427,.,.,.,.,4136.856537713576,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-10-01 00:00:00,125.9735899349925,.,.,.,.,0.00578530394198153,.,.,.,.,0.05138294078420369,.,.,.,.,4160.789510148622,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
