Unnamed: 0,Niterói,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.,5521.702454041952,6425.093686796993,4828.464268402883,5669.1758775426815,6781.753742251152,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,100.90967285273781,99.36599416079503,101.78845614402657,100.95024725014076,101.6867423010655,0.009096728527378257,-0.006340058392049816,0.017884561440265716,0.009502472501407575,0.01686742301065498,.,.,.,.,.,5571.9318822753285,6384.35821764831,4914.819234273262,5723.047065424675,6896.144451375795,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,102.32926564201685,99.43111051691804,104.0525776250101,101.91189712830214,105.13867644772016,0.014067955520485169,0.0006553183176292576,0.022243401332071342,0.009525978433500499,0.033946747319669957,.,.,.,.,.,5650.317572158351,6388.542004534642,5024.141530975786,5777.5646883438185,7130.246124546593,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,103.47594940327991,98.36738521056012,106.36364903506002,102.83059287626111,108.8798781813114,0.011205824199643633,-0.010698113506204174,0.02221061181567918,0.009014607458463622,0.03558349657798423,.,.,.,.,.,5713.634037544114,6320.196657030977,5135.730788227321,5829.647166075119,7383.965213119582,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,105.18621394750411,99.55193694285084,108.33019865763116,104.22444640231888,112.23013345353748,0.016528135804376527,0.012042118734325825,0.01848892587281308,0.013554852569361592,0.030770196735958037,.,.,.,.,.,5808.069756853151,6396.305215599234,5230.68493407358,5908.667173942663,7611.17127541874,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,106.19050226474013,99.39300522785115,109.69626184377829,105.99475484385123,112.78521169694939,0.009547718085349297,-0.0015964703438259417,0.012610178907402115,0.016985539406932842,0.004945893106700378,.,.,.,.,.,5863.523569511629,6386.093704012471,5296.6448069005,6009.029073068117,7648.815314963749,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,107.31296730620235,99.32655958857589,110.93813447715357,108.039781184645,114.2418518672343,0.01057029600127375,-0.0006685142392357597,0.011321011422831106,0.019293656028606783,0.01291516989123411,.,.,.,.,.,5925.502749251812,6381.824509438245,5356.608183262099,6124.9652130697905,7747.6010642231795,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,109.0616519746966,101.25666554823756,112.51696967463523,109.6958177355615,116.54746136094083,0.016295185124316023,0.019431922012163094,0.014231672498574384,0.015328025776785506,0.020181828778353193,.,.,.,.,.,6022.059913505514,6505.835625600959,5432.8416766294695,6218.84883773764,7903.961822344319,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,111.19798358759228,104.98608208964983,114.07251580282993,110.86832354446275,119.4374880663002,0.01958829317376667,0.03683131891831471,0.013824991311913778,0.01068870111099171,0.024796994045276743,.,.,.,.,.,6140.021788601248,6745.4541323576,5507.950665607875,6285.3202542186555,8099.956316587086,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,113.45351543489478,109.65489404445682,115.40981392797067,112.14869834736749,121.33520788569992,0.020283927590519592,0.044470770428600245,0.011723228121419118,0.011548607951948068,0.015888812215694714,.,.,.,.,.,6264.565545965448,7045.429674514328,5572.521627742317,6357.906953687065,8228.655001456667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,114.94358633708582,111.05676159776333,116.78192329272439,113.79658701418059,123.18669043327479,0.013133756997121097,0.012784359198214742,0.011889018083072947,0.014693783263618069,0.015259235796744219,.,.,.,.,.,6346.842827538696,7135.5009781790795,5638.773438142859,6451.328660474793,8354.217988413953,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,116.16303480583812,111.21529066691717,118.16627165264798,115.62404435510261,125.15858048297176,0.010609104062371153,0.0014274598581220292,0.011854132222618092,0.016058981985938765,0.016007330359809092,.,.,.,.,.,6414.177143563569,7145.686619393021,5705.616204051991,6554.930431218727,8487.946715652355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,117.10246250683485,110.81825489676861,119.28281175762856,117.35972477259808,127.09651171145194,0.008087148399376336,-0.0035699746659626384,0.009448890020518427,0.015011414167151014,0.015483806391874516,0.17102462506834848,0.10818254896768598,0.1928281175762856,0.17359724772598084,0.2709651171145193,6466.049545983456,7120.17669919088,5759.527944063367,6653.329206758612,8619.372439262064,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,117.78913987467604,110.8591977454546,120.09265055770481,118.13783251029147,129.09923184926157,0.005863902031958688,0.0003694594245697186,0.006789232984562569,0.00663010874642975,0.015757475251220118,0.16727303284959816,0.11566536098920466,0.1798258378904829,0.17025798082061394,0.26957781248449764,6503.9658270548925,7122.807315576998,5798.630721156711,6697.441502925218,8755.191987154785,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,118.39691396906647,110.27278979407467,121.07694145339755,119.11906902962897,130.66428774753595,0.005159848310609007,-0.005289664396871972,0.008196096023542942,0.008305861877498214,0.012122890863531743,0.1570190915203067,0.10903709332816858,0.16361309077551844,0.16884360301588575,0.2427804130909743,6537.52530413988,7085.130055314011,5846.1568553523775,6753.0695269811395,8861.33022410433,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,118.9539853213288,109.63689516730736,122.03010718094545,119.965788571235,132.36735073104077,0.004705117165536007,-0.005766559710285635,0.007872396809055365,0.007108177964314154,0.013033882576970348,0.14958099932696323,0.11456551307757468,0.14729146929437698,0.1666351930460339,0.21571912957706507,6568.285126668514,7044.273229794903,5892.1801219256895,6801.071546984308,8976.82776172106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,120.322929521981,110.52766230605428,123.4085027920776,121.81327037677836,133.69216719266214,0.011508182739353388,0.008124702340280614,0.01129553716680981,0.015400072200136835,0.010008634714713643,0.14390398709503183,0.11025124874771852,0.13918837333715417,0.16875910193434374,0.19123236406031552,6643.87415219039,7101.505852990595,5958.735461486439,6905.808539846163,9066.673551685026,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,121.85449003130772,112.06107337331578,125.0220214642256,123.26708716334872,135.06960452202614,0.012728750167663757,0.013873550161727264,0.0130746150843959,0.011934798089514961,0.010303051841316966,0.14750836875708706,0.1274543225292768,0.1397108649178327,0.16295459473388707,0.19758257744777996,6728.442366419021,7200.028950665859,6036.643634035114,6988.227970414076,9160.087959316334,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,123.4776574139854,113.79519859893286,126.85135908842526,124.67712727090169,135.9933840238992,0.013320538145624632,0.01547482255359163,0.014632123227371514,0.011438901818815841,0.006839284864585675,0.15063128449015295,0.14566737306001576,0.1434423310457671,0.15399277843614567,0.19039898076882866,6818.068839621543,7311.448121058136,6124.972547568044,7068.165624055146,9222.736410254758,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,124.32817877676496,114.38165803207983,127.78857170400184,125.66453580664232,136.84802047453243,0.0068880587840113834,0.005153639524053486,0.007388274136844507,0.007919724791181222,0.006284397265112772,0.13998070380971628,0.12962102211028914,0.1357271003078684,0.14557271553940043,0.174182765343313,6865.032098582293,7349.128689072888,6170.225523830123,7124.14355057615,9280.695749728218,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,124.48016906411296,114.22933786324474,127.86469901836911,126.04331571337697,137.6631128133878,0.0012224926709566977,-0.0013316835186316447,0.0005957286582999035,0.0030142148244391214,0.005956186549348416,0.11944627994138135,0.08804267755893491,0.12090715382641726,0.1368740112934821,0.1525955128675387,6873.424550008693,7339.341975521346,6173.901304002841,7145.61724967773,9335.973304921345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,124.70223078568044,113.82766468692822,128.29813395993503,126.36621975230719,138.63945826202843,0.0017839124355070735,-0.0035163748983417825,0.0033897936247725383,0.0025618497665081163,0.007092280776507721,0.09914823095314951,0.038053665354686794,0.11167438533440643,0.1267738423579612,0.1426152448070097,6885.686137537972,7313.534097628276,6194.829555283124,7163.923247560373,9402.186648921828,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,125.32875474536817,114.05049651232781,129.13126709868436,126.867390958688,140.06363812679706,0.00502415999890571,0.0019576245020265074,0.006493727640727074,0.0039660219903957464,0.010272543492466193,0.09035013382849044,0.026956800031748607,0.10574704935288004,0.11486112446306151,0.13700301253457114,6920.28092639521,7327.8512511742,6235.057091195859,7192.335524697704,9498.771020197162,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,127.09033207587308,115.97603073212787,131.0503568470199,128.35754569509191,141.39285670666868,0.014055651746352416,0.016883172618121018,0.01486154199097998,0.011745766387590943,0.009490104624216067,0.09406862766885782,0.04280652450451994,0.10903352550755718,0.11012848937269815,0.12970965443240745,7017.549985083546,7451.568628767689,6327.719653972825,7276.815017551974,9588.915350980304,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,128.88867450979873,118.62913165466887,132.7161929695932,129.57403791818376,142.90499899558213,0.014150112007356044,0.022876286641236355,0.01271141996597449,0.009477372105427886,0.01069461586769212,0.10064871182598711,0.0704836650349383,0.11261791212014693,0.10407585029065736,0.12438175581105093,7116.849103389696,7622.032848646224,6408.153955921424,7345.78010121568,9691.465117246853,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,130.25586526563754,119.87927411372651,134.77113341009925,130.09177469783322,143.95940390835332,0.010607532128316267,0.010538241674876575,0.015483720520651525,0.003995682993041836,0.007378362689773784,0.10583934481757584,0.0813651600562999,0.12222632096325814,0.1011864017947035,0.11510658774827376,7192.341308906282,7702.355672859105,6507.376020828219,7375.131509836732,9762.972261877194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,131.32105337499326,120.77671738020057,136.34791442063838,130.58639397943801,144.8677409229629,0.008177659464189265,0.007486225397249853,0.011699693922889831,0.0038020795915318043,0.006309674741275248,0.10915942800083012,0.09525402962726459,0.12612618706691237,0.09626775161377998,0.10870187577856205,7251.15782688074,7760.017243515914,6583.510328513063,7403.1723468351465,9824.573441357732,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,132.49657232635397,122.37236637672899,137.46759497311848,131.63675572046088,145.2786901258459,0.00895148889800592,0.013211561227528423,0.00821193750735249,0.008043424042999804,0.0028367198954358554,0.11384727437624531,0.11616045118741392,0.12650556611642094,0.09728579529401205,0.09754172251312854,7316.066485665752,7862.539186455301,6637.57370390982,7462.719201284152,9852.443004303002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
