"script","engine_dependency"
"scripts\bot_whatsapp.py","none"
"scripts\build_graph3d_dataset.py","none"
"scripts\index_results.py","none"
"scripts\robo_filtrador.py","none"
"scripts\run_metric_health.py","none"
"scripts\run_metric_logistics.py","none"
"scripts\simulate_rolling_forecasts.py","none"
"scripts\train_classifier.py","none"
"scripts\__init__.py","none"
"scripts\bench\benchmark_baselines.py","none"
"scripts\bench\compare_auto_eval.py","none"
"scripts\bench\compare_kmeans_hdbscan.py","none"
"scripts\bench\compare_official_regimes.py","graph_engine"
"scripts\bench\compare_walk_modes.py","none"
"scripts\bench\compute_best_models_top2.py","none"
"scripts\bench\compute_sector_best_models.py","none"
"scripts\bench\evaluate_auto_regime_model.py","spa"
"scripts\bench\evaluate_walk_forecasts.py","none"
"scripts\bench\print_best_regime_models.py","none"
"scripts\bench\quantitative_evaluation.py","none"
"scripts\bench\run_auto_benchmark.py","none"
"scripts\bench\run_finance_risk_regime.py","spa"
"scripts\bench\run_finance_walkforward.py","spa"
"scripts\bench\run_graph_regime_backtest.py","graph_engine"
"scripts\bench\run_graph_regime_example.py","graph_engine"
"scripts\bench\run_graph_regime_forecast_train.py","graph_engine"
"scripts\bench\run_graph_regime_hypertest.py","none"
"scripts\bench\run_graph_regime_universe.py","graph_engine"
"scripts\bench\run_graph_regime_validation.py","graph_engine"
"scripts\bench\run_model_comparison.py","none"
"scripts\bench\run_phase_benchmark.py","spa"
"scripts\bench\run_robustness_grid.py","none"
"scripts\bench\run_sales_supertest.py","none"
"scripts\bench\train_auto_regime_model.py","spa"
"scripts\bench\yf_chaos_benchmark.py","spa"
"scripts\bench\__init__.py","none"
"scripts\bench\validation\00_build_validated_artifacts.py","spa"
"scripts\bench\validation\01_sanity_run.py","graph_engine"
"scripts\bench\validation\02_robustness_sweep.py","graph_engine"
"scripts\bench\validation\03_placebo_tests.py","graph_engine"
"scripts\bench\validation\04_universe_mini.py","graph_engine"
"scripts\bench\validation\05_verdict.py","none"
"scripts\bench\validation\06_realworld_vix_actionability.py","graph_engine"
"scripts\bench\validation\07_historical_regime_shifts.py","graph_engine"
"scripts\bench\validation\09_synthetic_false_alarm_stress.py","graph_engine"
"scripts\bench\validation\10_calibrate_switch_targets.py","none"
"scripts\bench\validation\11_metric_uncertainty_ci.py","none"
"scripts\bench\validation\12_risk_truth_panel.py","none"
"scripts\bench\validation\13_ablation_formal.py","graph_engine"
"scripts\bench\validation\14_adaptive_status_gates.py","none"
"scripts\bench\validation\15_risk_utility_metrics.py","none"
"scripts\bench\validation\16_data_adequacy_gate.py","none"
"scripts\bench\validation\17_hybrid_ews_var_garch.py","none"
"scripts\bench\validation\run_product_pipeline.py","none"
"scripts\data\calibrate_phase_thresholds.py","none"
"scripts\data\check_data_quality.py","none"
"scripts\data\extract_calibration_summary.py","none"
"scripts\data\fetch_datasets.py","none"
"scripts\data\fetch_dgs2.py","none"
"scripts\data\fetch_finance.py","none"
"scripts\data\fetch_logistics.py","none"
"scripts\data\fetch_official_regimes.py","none"
"scripts\data\fetch_realestate.py","none"
"scripts\data\__init__.py","none"
"scripts\engine\run_auto_curriculum.py","none"
"scripts\engine\run_engine.py","none"
"scripts\engine\run_engine_exec.py","spa"
"scripts\engine\run_global_multivariate.py","spa"
"scripts\engine\run_temporal_engine.py","spa"
"scripts\engine\__init__.py","none"
"scripts\finance\backtest_signals.py","none"
"scripts\finance\blend_quantum_crypto.py","none"
"scripts\finance\download_from_yf.py","none"
"scripts\finance\download_market_data.py","none"
"scripts\finance\evaluate_today_forecasts.py","none"
"scripts\finance\multi_asset_training.py","none"
"scripts\finance\prepare_and_analyze_market_data.py","none"
"scripts\finance\prepare_price_csv.py","none"
"scripts\finance\reconstruct_price_from_returns.py","none"
"scripts\finance\run_daily_forecast.py","none"
"scripts\finance\run_daily_live_forecast.py","none"
"scripts\finance\run_dm_test.py","none"
"scripts\finance\run_event_alignment.py","none"
"scripts\finance\run_financial_analysis.py","none"
"scripts\finance\run_investor_pipeline.py","none"
"scripts\finance\run_metric_finance.py","none"
"scripts\finance\run_pipeline.py","none"
"scripts\finance\run_walk_forecast.py","none"
"scripts\finance\segment_trends.py","none"
"scripts\finance\train_financial_classifier.py","spa"
"scripts\finance\train_ml_forecaster.py","spa"
"scripts\finance\train_quantum_blend_model.py","spa"
"scripts\finance\train_residual_model.py","spa"
"scripts\finance\yf_fetch_or_load.py","none"
"scripts\finance\__init__.py","none"
"scripts\lab\lab_run.py","spa"
"scripts\lab\phase_space_plots.py","none"
"scripts\lab\run_graph_discovery.py","none"
"scripts\lab\run_graph_discovery_finance.py","none"
"scripts\lab\run_graph_discovery_health.py","none"
"scripts\lab\run_graph_discovery_logistics.py","none"
"scripts\lab\run_phase_space_demo.py","none"
"scripts\lab\test_coin_limits.py","none"
"scripts\lab\test_lie_sensitivity.py","none"
"scripts\lab\_phase_space_diagnostics.py","none"
"scripts\lab\__init__.py","none"
"scripts\maintenance\clean_figs.py","none"
"scripts\maintenance\clean_tmp.py","none"
"scripts\maintenance\__init__.py","none"
"scripts\ops\audit_frontend_payloads.py","none"
"scripts\ops\build_daily_snapshot.py","none"
"scripts\ops\build_run_audit_pack.py","none"
"scripts\ops\daily_diff_report.py","none"
"scripts\ops\freeze_engine_snapshot.py","none"
"scripts\ops\run_daily_pipeline.py","none"
"scripts\ops\run_daily_validation.py","none"
"scripts\ops\safira_advisor.py","none"
"scripts\ops\validate_output_contract.py","none"
"scripts\realestate\build_city_dictionary.py","none"
"scripts\realestate\build_realestate_offline_core.py","none"
"scripts\realestate\build_te_graph.py","none"
"scripts\realestate\extract_fipezap_total.py","none"
"scripts\realestate\extract_fipezap_totals_from_xlsx.py","none"
"scripts\realestate\fetch_realestate_sources.py","none"
"scripts\realestate\prepare_realestate_series.py","none"
"scripts\realestate\run_km_drift_diffusion.py","none"
"scripts\realestate\run_realestate_forecast_baseline.py","none"
