"path","status","recommendation","reason"
"config/","??","keep","runtime config/contracts"
"data/raw/realestate/manifest.json","??","keep","source/core realestate data"
"data/realestate/core/","??","keep","source/core realestate data"
"docs/OPS_EXECUTION_FLOW.md","??","keep","documentation"
"docs/ops_playbook.md","??","keep","documentation"
"docs/REPO_REFACTOR_PLAN.md","??","keep","documentation"
"scripts/bench/validation/","??","keep","pipeline/validation ops"
"scripts/ops/audit_frontend_payloads.py","??","keep","pipeline/validation ops"
"scripts/ops/build_daily_snapshot.py","??","keep","pipeline/validation ops"
"scripts/ops/build_run_audit_pack.py","??","keep","pipeline/validation ops"
"scripts/ops/daily_diff_report.py","??","keep","pipeline/validation ops"
"scripts/ops/register_tasks_windows.ps1","??","keep","pipeline/validation ops"
"scripts/ops/run_daily_jobs.cmd","??","keep","pipeline/validation ops"
"scripts/ops/run_daily_jobs.ps1","??","keep","pipeline/validation ops"
"scripts/ops/run_daily_validation.py","??","keep","pipeline/validation ops"
"scripts/ops/run_unified_pipeline.ps1","??","keep","pipeline/validation ops"
"scripts/ops/validate_output_contract.py","??","keep","pipeline/validation ops"
"scripts/realestate/build_city_dictionary.py","??","keep","pipeline/validation ops"
"scripts/realestate/build_realestate_offline_core.py","??","keep","pipeline/validation ops"
"scripts/realestate/extract_fipezap_totals_from_xlsx.py","??","keep","pipeline/validation ops"
"scripts/realestate/fetch_realestate_sources.py","M","keep","pipeline/validation ops"
"website-ui/app/(site)/layout.tsx","M","keep","frontend/api product changes"
"website-ui/app/(site)/page.tsx","M","keep","frontend/api product changes"
"website-ui/app/(site)/pt/about/page.tsx","M","keep","frontend/api product changes"
"website-ui/app/(site)/pt/contact/page.tsx","M","keep","frontend/api product changes"
"website-ui/app/(site)/pt/methods/page.tsx","M","keep","frontend/api product changes"
"website-ui/app/api/assets/[asset]/","??","keep","frontend/api product changes"
"website-ui/app/api/assets/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/dashboard/overview/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/official/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/regimes/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/regimes-batch/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/sector/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/series-batch/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/graph/universe/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/history/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/latest/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/methodology/","??","keep","frontend/api product changes"
"website-ui/app/api/overview/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/realestate/asset/","??","keep","frontend/api product changes"
"website-ui/app/api/realestate/series/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/realestate/summary/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/regime/route.ts","M","keep","frontend/api product changes"
"website-ui/app/api/risk-truth/","??","keep","frontend/api product changes"
"website-ui/app/api/run/","??","keep","frontend/api product changes"
"website-ui/app/api/search/route.ts","M","keep","frontend/api product changes"
"website-ui/app/app/casos/","??","keep","frontend/api product changes"
"website-ui/app/app/dashboard/page.tsx","M","keep","frontend/api product changes"
"website-ui/app/app/finance/","??","keep","frontend/api product changes"
"website-ui/app/app/layout.tsx","M","keep","frontend/api product changes"
"website-ui/app/app/macro/","??","keep","frontend/api product changes"
"website-ui/app/app/metodologia/","??","keep","frontend/api product changes"
"website-ui/app/app/real-estate/","??","keep","frontend/api product changes"
"website-ui/app/globals.css","M","keep","frontend/api product changes"
"website-ui/app/layout.tsx","M","keep","frontend/api product changes"
"website-ui/components/AssetPicker.tsx","M","keep","frontend/api product changes"
"website-ui/components/BrMap.tsx","??","keep","frontend/api product changes"
"website-ui/components/DashboardFilters.tsx","??","keep","frontend/api product changes"
"website-ui/components/DashboardLayout.tsx","M","keep","frontend/api product changes"
"website-ui/components/DashboardSimple.tsx","M","keep","frontend/api product changes"
"website-ui/components/ForecastDemo.tsx","M","keep","frontend/api product changes"
"website-ui/components/PlotsGallery.tsx","M","keep","frontend/api product changes"
"website-ui/components/RealEstateDashboard.tsx","M","keep","frontend/api product changes"
"website-ui/components/RecentDiagnostics.tsx","M","keep","frontend/api product changes"
"website-ui/components/RegimeCard.tsx","M","keep","frontend/api product changes"
"website-ui/components/RegimeChart.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/CTASection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/HeroSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/HowItWorksSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/ProblemSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/ProductSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/ProofSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/sections/UseCasesSection.tsx","M","keep","frontend/api product changes"
"website-ui/components/SectorDashboard.tsx","M","keep","frontend/api product changes"
"website-ui/components/SiteHeader.tsx","M","keep","frontend/api product changes"
"website-ui/components/visuals/ProductMock.tsx","M","keep","frontend/api product changes"
"website-ui/components/visuals/ProofMatrix.tsx","M","keep","frontend/api product changes"
"website-ui/components/visuals/SignalWeave.tsx","M","keep","frontend/api product changes"
"website-ui/lib/server/data.ts","M","keep","frontend/api product changes"
"website-ui/lib/server/realestate.ts","??","keep","frontend/api product changes"
"website-ui/lib/server/validated.ts","??","keep","frontend/api product changes"
"website-ui/lib/story/","??","keep","frontend/api product changes"
"website-ui/lib/useRegimeData.ts","M","keep","frontend/api product changes"
"website-ui/package.json","M","keep","frontend/api product changes"
"website-ui/package-lock.json","M","keep","frontend/api product changes"
"website-ui/public/geo/","??","keep","frontend/api product changes"
"website-ui/types/","??","keep","frontend/api product changes"
"""data/realestate/normalized/FipeZap_\303\215ndice_FipeZAP_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Balne\303\241rio_Cambori\303\272_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Bel\303\251m_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Bras\303\255lia_Total.csv""","M","review","manual review"
"""data/realestate/normalized/FipeZap_Cuiab\303\241_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Florian\303\263polis_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Goi\303\242nia_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Guaruj\303\241_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Itaja\303\255_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Jaboat\303\243o_dos_Guararapes_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Jo\303\243o_Pessoa_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Macei\303\263_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Niter\303\263i_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Ribeir\303\243o_Preto_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Bernardo_do_Campo_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Caetano_do_Sul_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Jos\303\251_do_Rio_Preto_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Jos\303\251_dos_Campos_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Jos\303\251_dos_Pinhais_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Jos\303\251_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Leopoldo_Total.csv""","??","review","manual review"
