data,valor
01/01/2005,0.39
01/02/2005,0.30
01/03/2005,0.85
01/04/2005,0.86
01/05/2005,-0.22
01/06/2005,-0.44
01/07/2005,-0.34
01/08/2005,-0.65
01/09/2005,-0.53
01/10/2005,0.60
01/11/2005,0.40
01/12/2005,-0.01
01/01/2006,0.92
01/02/2006,0.01
01/03/2006,-0.23
01/04/2006,-0.42
01/05/2006,0.38
01/06/2006,0.75
01/07/2006,0.18
01/08/2006,0.37
01/09/2006,0.29
01/10/2006,0.47
01/11/2006,0.75
01/12/2006,0.32
01/01/2007,0.50
01/02/2007,0.27
01/03/2007,0.34
01/04/2007,0.04
01/05/2007,0.04
01/06/2007,0.26
01/07/2007,0.28
01/08/2007,0.98
01/09/2007,1.29
01/10/2007,1.05
01/11/2007,0.69
01/12/2007,1.76
01/01/2008,1.09
01/02/2008,0.53
01/03/2008,0.74
01/04/2008,0.69
01/05/2008,1.61
01/06/2008,1.98
01/07/2008,1.76
01/08/2008,-0.32
01/09/2008,0.11
01/10/2008,0.98
01/11/2008,0.38
01/12/2008,-0.13
01/01/2009,-0.44
01/02/2009,0.26
01/03/2009,-0.74
01/04/2009,-0.15
01/05/2009,-0.07
01/06/2009,-0.10
01/07/2009,-0.43
01/08/2009,-0.36
01/09/2009,0.42
01/10/2009,0.05
01/11/2009,0.10
01/12/2009,-0.26
01/01/2010,0.63
01/02/2010,1.18
01/03/2010,0.94
01/04/2010,0.77
01/05/2010,1.19
01/06/2010,0.85
01/07/2010,0.15
01/08/2010,0.77
01/09/2010,1.15
01/10/2010,1.01
01/11/2010,1.45
01/12/2010,0.69
01/01/2011,0.79
01/02/2011,1.00
01/03/2011,0.62
01/04/2011,0.45
01/05/2011,0.43
01/06/2011,-0.18
01/07/2011,-0.12
01/08/2011,0.44
01/09/2011,0.65
01/10/2011,0.53
01/11/2011,0.50
01/12/2011,-0.12
01/01/2012,0.25
01/02/2012,-0.06
01/03/2012,0.43
01/04/2012,0.85
01/05/2012,1.02
01/06/2012,0.66
01/07/2012,1.34
01/08/2012,1.43
01/09/2012,0.97
01/10/2012,0.02
01/11/2012,-0.03
01/12/2012,0.68
01/01/2013,0.34
01/02/2013,0.29
01/03/2013,0.21
01/04/2013,0.15
01/05/2013,0.00
01/06/2013,0.75
01/07/2013,0.26
01/08/2013,0.15
01/09/2013,1.50
01/10/2013,0.86
01/11/2013,0.29
01/12/2013,0.60
01/01/2014,0.48
01/02/2014,0.38
01/03/2014,1.67
01/04/2014,0.78
01/05/2014,-0.13
01/06/2014,-0.74
01/07/2014,-0.61
01/08/2014,-0.27
01/09/2014,0.20
01/10/2014,0.28
01/11/2014,0.98
01/12/2014,0.62
01/01/2015,0.76
01/02/2015,0.27
01/03/2015,0.98
01/04/2015,1.17
01/05/2015,0.41
01/06/2015,0.67
01/07/2015,0.69
01/08/2015,0.28
01/09/2015,0.95
01/10/2015,1.89
01/11/2015,1.52
01/12/2015,0.49
01/01/2016,1.14
01/02/2016,1.29
01/03/2016,0.51
01/04/2016,0.33
01/05/2016,0.82
01/06/2016,1.69
01/07/2016,0.18
01/08/2016,0.15
01/09/2016,0.20
01/10/2016,0.16
01/11/2016,-0.03
01/12/2016,0.54
01/01/2017,0.64
01/02/2017,0.08
01/03/2017,0.01
01/04/2017,-1.10
01/05/2017,-0.93
01/06/2017,-0.67
01/07/2017,-0.72
01/08/2017,0.10
01/09/2017,0.47
01/10/2017,0.20
01/11/2017,0.52
01/12/2017,0.89
01/01/2018,0.76
01/02/2018,0.07
01/03/2018,0.64
01/04/2018,0.57
01/05/2018,1.38
01/06/2018,1.87
01/07/2018,0.51
01/08/2018,0.70
01/09/2018,1.52
01/10/2018,0.89
01/11/2018,-0.49
01/12/2018,-1.08
01/01/2019,0.01
01/02/2019,0.88
01/03/2019,1.26
01/04/2019,0.92
01/05/2019,0.45
01/06/2019,0.80
01/07/2019,0.40
01/08/2019,-0.67
01/09/2019,-0.01
01/10/2019,0.68
01/11/2019,0.30
01/12/2019,2.09
01/01/2020,0.48
01/02/2020,-0.04
01/03/2020,1.24
01/04/2020,0.80
01/05/2020,0.28
01/06/2020,1.56
01/07/2020,2.23
01/08/2020,2.74
01/09/2020,4.34
01/10/2020,3.23
01/11/2020,3.28
01/12/2020,0.96
01/01/2021,2.58
01/02/2021,2.53
01/03/2021,2.94
01/04/2021,1.51
01/05/2021,4.10
01/06/2021,0.60
01/07/2021,0.78
01/08/2021,0.66
01/09/2021,-0.64
01/10/2021,0.64
01/11/2021,0.02
01/12/2021,0.87
01/01/2022,1.82
01/02/2022,1.83
01/03/2022,1.74
01/04/2022,1.41
01/05/2022,0.52
01/06/2022,0.59
01/07/2022,0.21
01/08/2022,-0.70
01/09/2022,-0.95
01/10/2022,-0.97
01/11/2022,-0.56
01/12/2022,0.45
01/01/2023,0.21
01/02/2023,-0.06
01/03/2023,0.05
01/04/2023,-0.95
01/05/2023,-1.84
01/06/2023,-1.93
01/07/2023,-0.72
01/08/2023,-0.14
01/09/2023,0.37
01/10/2023,0.50
01/11/2023,0.59
01/12/2023,0.74
01/01/2024,0.07
01/02/2024,-0.52
01/03/2024,-0.47
01/04/2024,0.31
01/05/2024,0.89
01/06/2024,0.81
01/07/2024,0.61
01/08/2024,0.29
01/09/2024,0.62
01/10/2024,1.52
01/11/2024,1.30
01/12/2024,0.94
01/01/2025,0.27
01/02/2025,1.06
01/03/2025,-0.34
01/04/2025,0.24
01/05/2025,-0.49
01/06/2025,-1.67
01/07/2025,-0.77
01/08/2025,0.36
01/09/2025,0.42
01/10/2025,-0.36
01/11/2025,0.27
01/12/2025,-0.01
01/01/2026,0.41
