date,price
2022-09-06,154.53
2022-09-07,155.96
2022-09-08,156.23
2022-09-09,158.37
2022-09-12,157.13
2022-09-13,153.84
2022-09-14,153.72
2022-09-15,151.42
2022-09-16,150.70
2022-09-19,153.71
2022-09-20,156.90
2022-09-21,153.72
2022-09-22,152.74
2022-09-23,150.43
2022-09-26,150.77
2022-09-27,151.76
2022-09-28,152.13
2022-09-29,150.09
2022-09-30,150.14
2022-10-03,153.64
2022-10-04,158.02
2022-10-05,156.90
2022-10-06,157.88
2022-10-07,156.69
2022-10-10,155.74
2022-10-11,152.65
2022-10-12,153.65
2022-10-13,154.84
2022-10-14,155.77
2022-10-17,159.18
2022-10-18,161.77
2022-10-19,162.56
2022-10-20,164.13
2022-10-21,163.06
2022-10-24,167.64
2022-10-25,170.77
2022-10-26,169.73
2022-10-27,170.80
2022-10-28,172.74
2022-10-31,168.87
2022-11-01,169.60
2022-11-02,167.65
2022-11-03,171.04
2022-11-04,172.87
2022-11-07,173.20
2022-11-08,173.72
2022-11-09,172.00
2022-11-10,174.92
2022-11-11,176.67
2022-11-14,176.51
2022-11-15,178.74
2022-11-16,179.40
2022-11-17,178.37
2022-11-18,180.38
2022-11-21,178.85
2022-11-22,179.43
2022-11-23,181.50
2022-11-25,182.56
2022-11-28,181.41
2022-11-29,180.29
2022-11-30,182.92
2022-12-01,184.90
2022-12-02,183.99
2022-12-05,184.81
2022-12-06,184.29
2022-12-07,184.08
2022-12-08,183.25
2022-12-09,182.22
2022-12-12,181.00
2022-12-13,183.36
2022-12-14,182.45
2022-12-15,181.32
2022-12-16,180.79
2022-12-19,179.23
2022-12-20,178.29
2022-12-21,179.38
2022-12-22,178.05
2022-12-23,176.72
2022-12-27,177.09
2022-12-28,175.15
2022-12-29,174.50
2022-12-30,173.20
2023-01-03,172.07
2023-01-04,172.85
2023-01-05,171.93
2023-01-06,173.49
2023-01-09,174.40
2023-01-10,175.13
2023-01-11,176.31
2023-01-12,178.12
2023-01-13,179.85
2023-01-17,180.09
2023-01-18,181.21
2023-01-19,180.30
2023-01-20,181.72
2023-01-23,182.06
2023-01-24,181.62
2023-01-25,182.40
2023-01-26,183.41
2023-01-27,184.50
2023-01-30,183.77
2023-01-31,182.91
2023-02-01,184.45
2023-02-02,187.43
2023-02-03,186.22
2023-02-06,186.01
2023-02-07,185.31
2023-02-08,184.72
2023-02-09,185.25
2023-02-10,184.33
2023-02-13,183.92
2023-02-14,184.75
2023-02-15,185.30
2023-02-16,186.12
2023-02-17,185.88
2023-02-21,184.21
2023-02-22,183.45
2023-02-23,183.93
2023-02-24,184.89
2023-02-27,185.32
2023-02-28,184.70
2023-03-01,185.16
2023-03-02,183.88
2023-03-03,184.76
